"","Prc.sum","expl.frac","wmSrc_time","wmSrc_lon","wmSrc_lat","wmSrc_p","wmSrc_Z","wmSrc_nocfblh","wmSrc_T","wmSrc_Q","wmSrc_PS","wmSrc_evs","wmSrc_RH","wmSrc_dQ","wmSrc_Q.upt","wmSrc_Prc.frac","wmSrc_Prc.upt","wmSrc_Rainout.frac","wmSrc_cum.dist","wmSrc_sd.lat","wmSrc_sd.lon","wmSrc_sd.p","wmSrc_sd.Z","wmSrc_sd.nocfblh","wmSrc_sd.T","wmSrc_sd.PS","wmSrc_sd.RH","wmSnk_lon","wmSnk_lat","wmSnk_p","wmSnk_Z","wmSnk_nocfblh","wmSnk_T","wmSnk_Q","wmSnk_nocftp","wmSnk_PS","wmSnk_RH","wmSnk_dQ","Ele..m.","Type_main","type","ISO","mw18O","mwdD","Monat","Prc.season","humid.arid","RFZraster","Africa","Oceans","NEAR_DIST","d.Excess","Forest_clr","Shrub_clr","Cropland_clr","Bare_clr","Water_clr","Artificial_clr","Africa_clr","Oceans_clr","Land.Ocean"
"19KHW37",10.285,0.649592060850498,-64.6545727626061,33.6523468823024,-25.6039221735577,891.452759026899,219.196134478754,976.728478342869,291.712818569827,11.7150662448725,9.89252372816166,-0.261766201231298,75.9607919525085,0.782879144177221,0.581683383046954,0.0452507297701898,0.0441333293584304,0.278579669456945,1377224.94293313,-2.79392217355769,3.59234688230239,40.5631139126545,-649.469865521247,348.72137965546,0.923264753589548,0.710016290145127,-11.6767965744725,30.06,-22.81,850.889645114244,868.666,628.007098687409,290.789553816237,13.1507749149246,0.520711813320369,9.18250743801653,87.637588526981,-0.321019640252796,651,"River","River","ZAF",-3.1009717,-15.8137694333333,"3","3","3","SRZm",0.457700665917549,0.542299334082451,416777.799078,8.9940041666667,2.46197056122871,1.92265117778791,1.19761536502549,-0.67889905760897,3.23966369881602,-8.14300174524917,-0.0848013616578918,0.0848013616578916,0.844000051543416
"19KHW38",20.034,0.631716746723169,-66.8733357249531,35.0769949561417,-26.6175885595562,896.136948937817,187.728967531312,1001.28978467034,291.3572005758,11.6698639761526,9.92919808096926,-0.25106517656759,77.7040531689828,0.694575574049671,0.501420915252598,0.0392823291355285,0.05670454021213,0.285186366729085,1463302.5517758,-3.75758855955619,4.78699495614174,52.2191092652608,-644.344032468688,471.792069386319,1.51296038412568,0.702924745639324,-12.7848996612059,30.29,-22.86,843.917839672557,832.073,529.497715284017,289.844240191674,12.907654687032,0.577833133672757,9.22627333532994,90.4889528301887,-0.455061195966856,873,"River","River/Wetlands","ZAF",-3.9973006,-18.9912102,"3","3","3","SRZm",0.371713788830987,0.628286211169013,396666.029838,12.9871946,2.75414385615034,2.36945385938733,1.65017136828496,-5.99330769267174,3.96375027718522,-4.7442116683361,-0.262435819816472,0.262435819816472,0.591631301504075
"19KHW42",27.301,0.594868446097928,-69.3940321771512,34.6946373051488,-26.7585885621633,893.675976790652,187.946954741746,1004.97038917889,291.279408135034,11.6051094471774,9.92753143865757,-0.237343866344927,77.445877204247,0.643282884929285,0.454589856486037,0.0361266695789394,0.0496764246353279,0.306825962589305,1503536.07004729,-3.74858856216328,4.21463730514881,56.5289858379393,-512.427045258254,550.269767589938,2.08674160267302,0.559953840767388,-13.7454591936871,30.48,-23.01,837.146990952712,700.374,454.700621588953,289.192666532361,12.6212594044174,0.278286766052525,9.36757759789019,91.1913363979341,-0.43028017288744,516,"River","River","ZAF",-3.58231825,-16.1488993166667,"3","3","3","SRZm",0.413314323089828,0.586685676910172,371514.738746,12.5096466833333,1.65649039331048,1.40001216252861,0.751005600849088,-2.88509524305013,2.75600610066416,-3.67841901430222,-0.175140413157289,0.175140413157289,0.704490222544006
"19KHW30",11.638,0.50871239517368,-108.68900351058,22.8889695319092,-16.0694914512705,787.95868847999,984.732817312325,1072.2832244254,289.03487637599,10.873821473891,9.02410551470562,-0.252599312641667,74.3364991128789,0.647861064247313,0.200495555835123,0.0307882908779027,0.0628438526196385,0.685593977661161,2565084.0953953,1.72050854872954,-0.451030468090766,271.847672841565,12.4728173123252,889.614411570955,20.0575441024039,-0.0106899828025456,-19.3309971923282,23.34,-17.79,516.111015638426,972.26,182.668812854442,268.977332273587,5.81626611101563,1.26498264306582,9.03479549750816,93.6674963052071,-0.760741708197285,959,"River","River","NAM",-2.02317175,-20.611060575,"3","3","3","SRZw",0.926377689089534,0.0736223109104658,1060317.19974,-4.425686575,1.99506017746683,2.1278713261597,0.146445953028888,-0.0328182221100728,0.37582689903766,-4.61238613358301,1.26616695295385,-1.26616695295385,12.5828390556244
"MAHALAPYERIVERW4",3.912,0.69842727573811,-69.327594306892,27.9499785281263,-21.5466177884213,745.849689326882,771.214997153658,2225.17357538709,283.576047794599,6.28437804079422,9.26317563500553,-0.140890391301193,57.5676615668922,0.843210451756723,0.405394315313474,0.0813714524036915,0.0993837245598049,0.488533631747714,1720215.76238433,1.5533822115787,1.10997852812626,153.671775216452,-244.743002846342,1481.62563213556,11.756209093167,0.261165410056659,-29.0560503451733,26.84,-23.1,592.17791411043,1015.958,743.547943251534,271.819838701432,5.77025127811861,0.0249532208588957,9.00201022494888,86.6237119120654,-0.308282208588957,996,"River","River","BWA",3.950465,20.6631968666667,"11","3","3","SRZm",0.782262572239264,0.217737427760736,663362.902804,-10.9405231333333,1.32502360685307,1.02790448449969,0.0974342038731231,-3.23155828118938,0.781195985963488,0,0.639450288641408,-0.639450288641408,3.59268767103681
"20KHW15",31.975,0.718860257547421,-58.0840720973113,25.3763321120736,-31.9421972893038,831.032054145737,492.536530911878,1445.67454733053,284.523577558805,7.47802583381109,9.61413441322392,-0.250444944303794,68.8335175862996,0.578952658304167,0.354551791936567,0.0503183207875162,0.122098676677363,0.389838304572821,1546784.64239266,0.0378027106962006,-3.78366788792638,109.834243356058,344.378530911878,963.084706955233,6.88049440008715,-0.374279128605634,-23.0248253378599,29.16,-31.98,721.197810789679,148.158,482.589840375293,277.643083158718,7.82340265832682,1.90499183737295,9.98841354182955,91.8583429241595,-0.653031524628616,13,"River","Stream","ZAF",-2.28388825,-2.78582596666667,"3","3","3","SRZe",0.439386003787109,0.560613996212891,1395.52000868,15.4852800333333,0.60593720037469,2.61537949513602,0.0146269696290946,-0.669565275194767,3.09527174528841,-5.66165013523345,-0.121827149237006,0.121827149237006,0.783758533956141
"20KHW17",19.196,0.759247314897641,-64.0701912691683,30.1087134367148,-31.0114983094772,864.314232746103,449.005358416195,1077.6154047502,286.291460065593,8.2755077798194,9.67353928091259,-0.322312423370055,72.1971376567664,0.551302514960588,0.293393624234284,0.0344796605503387,0.0457324398938509,0.461971295491369,1467278.86840493,-3.3914983094772,-0.26128656328521,161.772036455209,-960.000641583805,610.871845102357,7.42326346213435,1.03695311712846,-18.5924015701559,30.37,-27.62,702.542196290894,1409.006,466.743559647843,278.868196603459,8.07167170243801,0.723921910814753,8.63658616378412,90.7895392269223,-0.432648260054178,1269,"River","River","ZAF",-2.6430175,-9.465684475,"3","3","3","SRZe",0.404510208897656,0.595489791102344,201306.088212,11.678455525,1.28609383296849,1.11793690966667,1.0505857756672,-3.19436190907802,2.62467838162839,-2.88493299085273,-0.193353635375129,0.193353635375129,0.679289913851999
"20KHW18",19.421,0.781323531345413,-64.812976244702,30.2257493991747,-31.4180321081397,871.660370423912,383.620946213253,1084.86032827899,285.858957513087,8.30797986158461,9.74792331515542,-0.330010723934027,74.405434411124,0.532891152581862,0.286710005414827,0.0340484559621437,0.0474485592356344,0.453598450095285,1524389.67401629,-3.81803210813969,-0.144250600825272,165.929460584047,-1041.69505378675,630.534547526202,6.72489325275027,1.12862415445308,-16.5196942125308,30.37,-27.6,705.730909839864,1425.316,454.325780752793,279.134064260337,8.18484403480768,0.801666855465733,8.61929916070233,90.9251286236548,-0.465273827300345,1467,"River","Stream","ZAF",-2.828851,-10.8695548,"3","1","3","SRZe",0.368843525542387,0.631156474457613,202509.224032,11.7612532,1.18627425398628,0.805664318023541,0.702760259466301,-2.76595472653975,2.54340655008495,-2.47215065502132,-0.268590653126286,0.268590653126286,0.584393158383354
"SLW6",5.148,0.636301866757748,-52.8799021025025,10.8679864885036,-32.9663146794245,923.316814771546,81.4740825219701,1090.67257624563,280.980158628625,5.66486721176572,10.0882772738121,-0.191591122655251,75.1518535043019,0.293745286936379,0.179946033146622,0.0329363888283376,0.0250398087877963,0.421809710396131,1671332.60992505,0.363685320575507,-9.01201351149641,100.191329146061,-901.82991747803,318.242168125969,5.27087191533795,1.04281437559918,-16.3266641724658,19.88,-33.33,823.125485625486,983.304,772.430408119658,275.709286713287,5.17958216783217,0.328222610722611,9.0454628982129,91.4785176767677,-0.295426184926185,804,"Lake","Reservoir Lake","ZAF",-2.589775,-18.587295,"8","3","3","WRZ",0.101460493753108,0.898539506246892,130027.759721,2.130905,-0.0513384619393813,1.73578543663804,-0.892946712132405,-1.52511354139916,4.13583291689966,-3.40221963806676,-1.09055058788078,1.09055058788078,0.112917120558113
"SLW10",0.402,0.48236709552047,-97.1703493487474,23.7643167422916,-18.1381027432842,792.406965996856,998.566286416713,1498.49291829064,286.28127509174,5.78660283758103,9.06888973435544,-0.0403783963114445,49.8055023565007,0.318858923893611,0.11720924546755,0.0336586625299744,0.0146321042914918,0.571331058690231,2434022.54548043,7.73189725671578,-1.88568325770843,202.232836643623,-347.834713583287,947.031231723479,19.1990785743267,0.354984261718626,-34.3790822206137,25.65,-25.87,590.174129353234,1346.401,551.461686567165,267.082196517413,3.48727860696517,0,8.71390547263682,84.1845845771144,-0.173661691542289,1270,"River","Lake outflow","ZAF",0.746039375,0.61378455,"9","0","0","SRZm",0.997975218308458,0.00202478169154229,682256.500836,-5.35453045,1.50476445655274,2.48683294708247,0.643951290051946,-1.36306185751884,-3.2724868361683,0,3.10013327827387,-3.10013327827387,492.880404083609
"SLW30",14.021,0.761799712140516,-45.524372359663,15.5405954122275,-35.0485194433429,910.046559640869,78.4766121217889,1084.70712887785,279.548625509115,5.0397206919101,10.0844209864675,-0.207158951128846,73.1343690718414,0.339550143394896,0.237469164800138,0.0416875677350423,0.0515337023689704,0.329974771573345,1332812.55474314,-1.53851944334292,-7.04940458777245,97.6579996237514,-714.366387878211,601.215449896323,3.95785987185639,0.808607635065999,-20.0175605337502,22.59,-33.51,812.388560017117,792.843,483.491678981528,275.590765637258,5.43446929605592,0.366876827615719,9.27581335140147,93.1519296055916,-0.394887454532487,440,"Lake","Reservoir Lake","ZAF",0.2850452,1.37288646,"9","1","0","YRZ",0.126303224255117,0.873696775744883,55445.4044471,-0.90747514,1.27787232871931,1.90244541220439,0.0742100872285167,-3.72749791415632,4.20788985341095,-3.73491976740684,-0.967023909688387,0.967023909688387,0.144561852305607
"SSW10",65.113,0.716155584435107,-56.0781209042287,31.7856975092718,-27.6292315449334,852.485915277577,494.950529634967,1216.56125869481,286.041414688946,8.17732194108805,9.60139972627159,-0.212041129503462,70.7658814438607,0.58885983372856,0.28829979347352,0.0430830255832986,0.132918535386127,0.505877357733459,1430741.63390862,-0.439231544933411,0.495697509271794,200.668305890818,-335.418470365033,719.280554518995,12.2949403136291,0.374830592611644,-21.8065439397033,31.29,-27.19,651.817609386758,830.369,497.280704175818,273.746474375317,6.45785013745335,0.78960262927526,9.22656913365994,92.572425383564,-1.05857409426689,906,"Lake","Wetland Outflow","SWZ",-1.8371665,-0.757781066666666,"12","3","3","SRZe",0.5360209020699,0.4639790979301,141301.72142,13.9395509333333,1.32489487005069,1.10531517058557,0.891041116933178,-3.93250343391597,2.10697505554171,-1.49572277919517,0.0721668265311929,-0.072166826531193,1.15526950343494
"18K11",5.902,0.524869126898233,-43.5265275313988,27.3719960934907,-25.7453188402204,735.246448594877,759.210900949372,1991.72511036638,281.903587074586,7.54749162894636,9.27730638095525,-0.150796515928909,71.6324441853949,0.668329415863896,0.422888247751772,0.0665835711551559,0.0517184021207938,0.336136236968597,1189235.39559149,-1.34531884022042,1.22199609349066,77.3338765853884,-218.579099050627,1036.43714238942,4.23755539041081,0.235483439579442,-14.1036329071162,26.15,-24.4,657.912572009488,977.79,955.287967976957,277.666031684175,7.67605540494747,0.145854625550661,9.04182294137581,85.736077092511,-0.267018637749915,931,"River","River","BWA",3.945741875,10.23068645,"1","3","3","SRZm",0.733776909160285,0.266223090839715,672062.841755,-21.33524855,0.132365827737157,1.81719930931624,0.513351305999614,-3.65129697861857,1.18838053556556,0,0.506935199647406,-0.506935199647406,2.75624817834479
"18K12",24.924,0.683644952023353,-40.3913216598364,29.5181284540774,-23.9506903210538,769.627416600153,773.067799475532,1759.01431359541,286.408113672656,7.85318259059324,9.26657736119097,-0.230408288819623,61.7077494205842,1.13295911528278,0.68166510618369,0.0980691753412694,0.368167389872989,0.429521881680396,879493.078154286,0.289309678946243,1.55812845407742,176.618670010521,-538.447200524468,1003.02158385701,13.4472810615176,0.567368044869349,-28.8885582748098,27.96,-24.24,593.008746589632,1311.515,755.992729738405,272.960832611138,6.28184328358209,0.537155472636816,8.69920931632162,90.596307695394,-1.15899855560905,1071,"River","River","ZAF",-0.9942175,-5.279852875,"1","3","3","SRZm",0.882782207382443,0.117217792617557,504154.616384,2.673887125,1.99795586870058,2.04930563651243,2.13074940656528,-3.29175099749849,1.14129514372073,-4.02755505800054,1.00952241983068,-1.00952241983068,7.53112806229571
"19KHW20",22.405,0.676038945228623,-65.7598292388878,23.6093311672762,-20.3981585683253,752.395998270143,1044.79219377358,1596.73244389914,286.454492101129,9.67709266935916,8.97457255899899,-0.204614584525739,73.3108738491392,0.802809270593282,0.342089423975947,0.0579195900247906,0.107183918859658,0.589687945860937,1154725.87645192,0.0918414316747414,6.29933116727622,197.350249553339,-427.137806226421,1344.8832652783,14.9114186800177,0.444302574620504,-14.4147737295263,17.31,-20.49,555.045748716804,1471.93,251.849178620844,271.543073421111,6.05975358178978,1.25640946217362,8.53026998437849,87.7256475786655,-0.60608297255077,1398,"River","Canal","NAM",-6.027523,-47.084978825,"3","3","3","SRZw",0.916169743526891,0.0838302564731087,361588.531035,1.135205175,1.27319731817699,2.92259637146261,0.425830983036858,-1.45510940842176,0.845799570807126,-4.01231483506182,1.19570382947275,-1.19570382947275,10.9288672380572
"19KHW24",15.329,0.558666495077356,-102.016609894592,24.1098233185352,-15.4959245222563,786.152447584263,1013.67501068436,1135.8303194036,288.663307557016,11.6518427848582,8.99683435441987,-0.319012850976027,78.0432507574632,0.653047217298887,0.245663598676617,0.0316827302277069,0.038392278843636,0.620654397639615,1504972.4493893,2.41407547774371,4.34982331853522,206.238558876585,-97.7539893156444,746.175113127912,14.3026297567683,0.124519526316271,-10.4460565032844,19.76,-17.91,579.913888707678,1111.429,389.655206275687,274.360677800248,7.45073931763324,0.820238306477918,8.87231482810359,88.4893072607476,-0.419798095113837,1054,"River","River bay","AGO",-3.1493365,-20.8838465666667,"3","3","3","SRZw",0.924969063837824,0.0750309361621762,735847.731944,4.3108454333333,1.94558277137551,2.04017232863812,-0.948017413121827,-3.25453535452298,0.216797667631178,0,1.25592989090111,-1.25592989090111,12.3278358387871
"19KHW25",36.248,0.571567276710168,-104.140725823165,22.1235526659839,-15.9685197100725,816.690307157168,1051.35430226842,833.272291170587,291.014430410126,12.9952768154897,8.95446408144907,-0.28784892414764,81.0730138931045,0.693788156271137,0.262861154676398,0.0310723497245427,0.0879216010183074,0.618615260336051,1726748.03361053,2.14148028992747,0.513552665983912,210.481688750635,17.7673022684186,344.861179081644,15.0154645361471,-0.00354769851120394,-8.42137539733908,21.61,-18.11,606.208618406533,1033.587,488.411112088943,275.998965873979,8.06313992496138,2.93204414036637,8.95801177996027,89.4943892904436,-0.879112171706025,989,"River","River (littoral)","NAM",-2.94031675,-21.7652197,"3","3","3","SRZw",0.934376422504166,0.0656235774958343,885302.441536,1.7573143,1.93882667410252,2.24069952579853,0.316351803333546,-1.6943948279802,0.253852192420084,-3.05533536767448,1.32797216728374,-1.32797216728374,14.2384255500773
"19KHW28",30.033,0.546861810138818,-104.482455616507,21.5461733852142,-15.7821349235924,801.8676104504,1072.30885203073,900.764350785667,290.280230669624,12.1425936310421,8.93265393735219,-0.304060668935872,78.1350029967006,0.65285131014728,0.234422058612289,0.0303008237526263,0.0460420495996203,0.649300006573915,1854114.2072105,2.57786507640758,-0.293826614785791,231.596575255781,50.6448520307313,499.051466824691,17.0380117104792,-0.0349058801818529,-12.206405420707,21.84,-18.36,570.271035194619,1021.664,401.712883960976,273.242218959145,7.1540693903373,2.03261565611161,8.96755981753405,90.3414084174075,-0.492846968334832,990,"River","River bay","BWA",-2.93001175,-21.6885274833333,"3","3","3","SRZw",0.932299825335265,0.0676798139948057,891229.933501,1.7515665166667,1.27044788251848,1.38365150274105,-0.382393553540945,-1.88086341356582,-0.390842418152769,0,1.31143324848196,-1.31143324848196,13.7751534808712
"19KHW29",37.51,0.561799679439859,-99.3134654602371,22.4080564019785,-14.8765007119838,808.189607160936,991.57291112927,952.250437371809,290.124232503122,11.5081640886892,9.01856638464008,-0.239417552329662,75.3313812663308,0.619601716861369,0.22449874732992,0.0291275638115964,0.0550776106834422,0.644329253046567,2126903.56447377,2.91349928801624,-0.931943598021516,241.376757254244,19.3129111292698,515.673353020969,17.0291704396725,-0.00290031757266875,-16.0338458997583,23.34,-17.79,566.812849906692,972.26,436.57708435084,273.09506206345,7.13832191415622,1.01022186083711,9.02146670221275,91.3652271660891,-0.643195147960544,955,"River","River bay","NAM",-1.9347205,-18.4129139666667,"3","3","3","SRZw",0.901954767992642,0.0980452320073581,1060388.58319,-2.9351499666667,2.05312592768694,2.278357136503,0.401930874779582,-0.460758937203007,0.825195466701393,-5.09785046846791,1.10956772458576,-1.10956772458576,9.19937410036372
